#
#Allele symbols are usually of the form xxx<yy>, where the <> enclose the part of the symbol that is superscripted.
#
#Transgene insertions, with symbols of the form Tg(aaa)##bbb, are included in this listing, but notably have no corresponding gene marker.
#
#For details of nomenclature rules, see http://www.informatics.jax.org/mgihome/nomen/index.shtml
#
MGI:3529991	4631427C17Rik<Gt(neo)301Lex>	gene trap 301, Lexicon Genetics	Gene trapped		MGI:1921590	4631427C17Rik	NM_021414	ENSMUSG00000029772	
MGI:3528721	4921521K07Rik<tm1Lex>	targeted mutation 1, Lexicon Genetics	Targeted (knock-out)		MGI:1918152	4921521K07Rik	NM_027599	ENSMUSG00000033794	
MGI:3530757	4930417M19Rik<Gt(neo)545Lex>	gene trap 545, Lexicon Genetics	Gene trapped		MGI:2444287	4930417M19Rik	NM_177195	ENSMUSG00000028457	
MGI:3531128	4930487N19Rik<Gt663Lex>	gene trap 663, Lexicon Genetics	Gene trapped		MGI:1922259	4930487N19Rik	XM_919543	ENSMUSG00000036282	
MGI:3528436	4931432M23Rik<tm1Lex>	targeted mutation 1, Lexicon Genetics	Targeted (knock-out)		MGI:1918243	4931432M23Rik	XM_134585	ENSMUSG00000048400	
MGI:3529973	4931433E08Rik<Gt(neo)284Lex>	gene trap 284, Lexicon Genetics	Gene trapped		MGI:1918249	4931433E08Rik	XM_922374	ENSMUSG00000024764	
MGI:3529138	4932417H02Rik<tm1Lex>	targeted mutation 1, Lexicon Genetics	Targeted (knock-out)		MGI:1921620	4932417H02Rik	NM_028898	ENSMUSG00000025583	MP:0005373
MGI:3529340	4933426M11Rik<Gt(neo)106Lex>	gene trap 106, Lexicon Genetics	Gene trapped		MGI:2444661	4933426M11Rik	NM_178682	ENSMUSG00000021133	
MGI:1856927	5430420P03Rik<kd>	kidney disease	Spontaneous		MGI:1918615	5430420P03Rik	XM_900020	ENSMUSG00000038240	MP:0005367,MP:0005372,MP:0005376,MP:0005378,MP:0005384,MP:0005386,MP:0005387
MGI:3529148	5430427O21Rik<tm1Lex>	targeted mutation 1, Lexicon Genetics	Targeted (knock-out)		MGI:1918671	5430427O21Rik	XM_904684	ENSMUSG00000029282	
MGI:3529262	5730446C15Rik<Gt(neo)88Lex>	gene trap 88, Lexicon Genetics	Gene trapped		MGI:1917816	5730446C15Rik	NM_146096	ENSMUSG00000047368	
MGI:3531082	5730455O13Rik<Gt(neo)644Lex>	gene trap 644, Lexicon Genetics	Gene trapped		MGI:1917817	5730455O13Rik	XM_129261	ENSMUSG00000054237	
MGI:3529985	5730502D15Rik<Gt(neo)295Lex>	gene trap 295, Lexicon Genetics	Gene trapped		MGI:1915226	5730502D15Rik	NM_026485	ENSMUSG00000015363	
