163,Intestine - Large Intestine - Colon - Proximal,C22529,Intestine - Large Intestine - Colon - Proximal
139,Intestine - Large Intestine - Rectum,C22532,Intestine - Large Intestine - Rectum
64,Intestine - Small Intestine,C22522,Intestine - Small Intestine
331,Intestine - Small Intestine - Brunner's Gland,000000,Intestine - Small Intestine - Brunner's Gland
297,Intestine - Small Intestine - Distal,000000,Intestine - Small Intestine - Distal
111,Intestine - Small Intestine - Duodenum,C22523,Intestine - Small Intestine - Duodenum
137,Intestine - Small Intestine - Ileum,C22525,Intestine - Small Intestine - Ileum
343,Intestine - Small Intestine - Ileum - Distal,000000,Intestine - Small Intestine - Ileum - Distal
136,Intestine - Small Intestine - Jejunum,C22524,Intestine - Small Intestine - Jejunum
334,Intestine - Small Intestine - Jejunum - Distal,000000,Intestine - Small Intestine - Jejunum - Distal
333,Intestine - Small Intestine - Jejunum - Proximal,000000,Intestine - Small Intestine - Proximal Jejunum
296,Intestine - Small Intestine - Medial,000000,Intestine - Small Intestine - Medial
332,Intestine - Small Intestine - Paneth Cell,000000,Intestine - Small Intestine - Paneth Cell
295,Intestine - Small Intestine - Proximal,000000,Intestine - Small Intestine - Proximal
36,Kidney,C22730,Kidney
321,Kidney - Capsule,000000,Kidney - Capsule
127,Kidney - Cortex,C22731,Kidney - Cortex
246,Kidney - Cortex - Renal tubule,C22733,Kidney - Cortex - Renal tubule
234,Larynx,C22598,Larynx
305,Leg,000000,Leg
3,Leukocyte,C22570,Leukocyte
20,Leukocyte - Lymphoblast,C22571,Leukocyte - Lymphoblast
68,Leukocyte - Lymphocyte,C22572,Leukocyte - Lymphocyte
21,Leukocyte - Lymphocyte - B-lymphocyte,C22576,Leukocyte - Lymphocyte - B-lymphocyte
1,Leukocyte - Lymphocyte - B-lymphocyte - Follicular center cell,C22578,Leukocyte - Lymphocyte - B-lymphocyte - Follicular center cell
85,Leukocyte - Lymphocyte - B-lymphocyte - Plasma cell,C22577,Leukocyte - Lymphocyte - B-lymphocyte - Plasma cell
99,Leukocyte - Lymphocyte - Immature T-lymphocyte,C22579,Leukocyte - Lymphocyte - Immature T-lymphocyte
240,"Leukocyte - Lymphocyte - Null (non-T, non-B) cell",000000,"Leukocyte - Lymphocyte - Null (non-T, non-B) cell"
24,Leukocyte - Lymphocyte - Pre-B-lymphocyte,C22574,Leukocyte - Lymphocyte - Pre-B-lymphocyte
286,Leukocyte - Lymphocyte - Pro-B-lymphocyte,C22575,Leukocyte - Lymphocyte - Pro-B-lymphocyte
152,Leukocyte - Lymphocyte - Thymocyte,C22583,Leukocyte - Lymphocyte - Thymocyte
78,Leukocyte - Lymphocyte - T-lymphocyte,C22582,Leukocyte - Lymphocyte - T-lymphocyte
131,Leukocyte - Monocyte - Macrophage - Histiocyte,C22588,Leukocyte - Monocyte - Macrophage - Histiocyte
55,Leukocyte - Myelocyte (Granulocyte),C22590,Leukocyte - Myelocyte (Granulocyte)
75,Leukocyte - Myelocyte (Granulocyte) - Basophil - Mast cell,C22594,Leukocyte - Myelocyte (Granulocyte) - Basophil - Mast cell
26,Liver,C22515,Liver
113,Liver - Bile duct,C24042,Liver - Bile duct
8,Liver - Hepatocyte,C22517,Liver - Hepatocyte
337,Liver - Oval cell,000000,Liver - Oval cell
271,Liver - Sinusoid - Ito cell,C22519,Liver - Sinusoid - Ito cell
179,Liver (fetal),C22516,Liver (fetal)
4,Lung,C22600,Lung
109,Lung - Alveolus,C22601,Lung - Alveolus
262,Lung - Alveolus - type II cell,000000,Lung - Alveolus - type II cell
103,Lung - Bronchiole,C22602,Lung - Bronchiole
223,Lung - Bronchus,C24050,Lung - Bronchus
150,Lung - Clara cell,C22603,Lung - Clara cell
25,Lymph node,C22561,Lymph node
354,Lymph node - axillary,000000,Lymph node - axillary
353,Lymph node - cervical,000000,Lymph node - cervical
355,Lymph node - inguinal,000000,Lymph node - inguinal
336,Lymph node - mesentery,000000,Lymph node - mesentery
344,Lymph node - peripancreatic,000000,Lymph node - peripancreatic
145,Lymphatic vessel,C22687,Lymphatic vessel
342,Lymphoid tissue,000000,Lymphoid tissue
5,Mammary gland,C22549,Mammary gland
281,Mandible,000000,Mandible
174,Mediastinum,C22706,Mediastinum
238,Melanocyte,000000,Melanocyte
2,Mesodermal cell/mesoblast,000000,Mesodermal cell/mesoblast
153,Mesothelium,000000,Mesothelium
245,Mouth,000000,Mouth
349,Mouth - Lip,000000,Mouth - Lip
350,Mouth - Palate,000000,Mouth - Palate
61,Muscle,C22691,Muscle
97,Muscle - Smooth,C22693,Muscle - Smooth
172,Muscle - Striated,C22694,Muscle - Striated
160,Muscle - Striated - Cardiac,C22695,Muscle - Striated - Cardiac
236,Muscle - Striated - Melanocyte,000000,Muscle - Striated - Melanocyte
